ccode1,ccode2,state.destination.name,state.destination.abb,state.origin.name,state.origin.abb,dyad.id,immigrant.population,year
346,255,Germany,GMY,Bosnia and Herzegovina,BOS,346255,,1960
346,325,Italy,ITA,Bosnia and Herzegovina,BOS,346325,,1960
346,344,Croatia,CRO,Bosnia and Herzegovina,BOS,346344,,1960
346,349,Slovenia,SLV,Bosnia and Herzegovina,BOS,346349,,1960
349,255,Germany,GMY,Slovenia,SLV,349255,,1960
350,255,Germany,GMY,Greece,GRC,350255,,1960
355,255,Germany,GMY,Bulgaria,BUL,355255,,1960
360,2,United States of America,USA,Romania,ROM,3602,,1960
360,255,Germany,GMY,Romania,ROM,360255,,1960
360,310,Hungary,HUN,Romania,ROM,360310,,1960
552,560,South Africa,SAF,Zimbabwe,ZIM,552560,,1960
365,20,Canada,CAN,Russia,RUS,36520,,1960
365,210,Netherlands,NTH,Russia,RUS,365210,,1960
365,211,Belgium,BEL,Russia,RUS,365211,,1960
365,220,France,FRN,Russia,RUS,365220,,1960
365,225,Switzerland,SWZ,Russia,RUS,365225,,1960
365,255,Germany,GMY,Russia,RUS,365255,,1960
365,305,Austria,AUS,Russia,RUS,365305,,1960
365,325,Italy,ITA,Russia,RUS,365325,,1960
365,368,Lithuania,LIT,Russia,RUS,365368,,1960
365,369,Ukraine,UKR,Russia,RUS,365369,,1960
365,375,Finland,FIN,Russia,RUS,365375,,1960
365,380,Sweden,SWD,Russia,RUS,365380,,1960
365,385,Norway,NOR,Russia,RUS,365385,,1960
365,390,Denmark,DEN,Russia,RUS,365390,,1960
365,900,Australia,AUL,Russia,RUS,365900,,1960
367,255,Germany,GMY,Latvia,LAT,367255,,1960
368,255,Germany,GMY,Lithuania,LIT,368255,,1960
369,210,Netherlands,NTH,Ukraine,UKR,369210,,1960
369,211,Belgium,BEL,Ukraine,UKR,369211,,1960
369,220,France,FRN,Ukraine,UKR,369220,,1960
369,255,Germany,GMY,Ukraine,UKR,369255,,1960
369,316,Czech Republic,CZR,Ukraine,UKR,369316,,1960
369,325,Italy,ITA,Ukraine,UKR,369325,,1960
370,2,United States of America,USA,Belarus,BLR,3702,,1960
370,255,Germany,GMY,Belarus,BLR,370255,,1960
370,365,Russia,RUS,Belarus,BLR,370365,,1960
373,2,United States of America,USA,Azerbaijan,AZE,3732,,1960
373,20,Canada,CAN,Azerbaijan,AZE,37320,,1960
373,220,France,FRN,Azerbaijan,AZE,373220,,1960
373,255,Germany,GMY,Azerbaijan,AZE,373255,,1960
373,369,Ukraine,UKR,Azerbaijan,AZE,373369,,1960
600,325,Italy,ITA,Morocco,MOR,600325,,1960
615,230,Spain,SPN,Algeria,ALG,615230,,1960
615,255,Germany,GMY,Algeria,ALG,615255,,1960
630,640,Turkey,TUR,Iran,IRN,630640,,1960
